kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
16,21,20,0,0,0,0,100
30,11,45,0,0,0,1,100
33,10,56,0,0,0,1,100
18,36,24,0,0,0,0,100
16,31,28,0,0,0,0,100
3,16,3,0,0,0,0,100
5,16,7,0,0,0,0,100
29,39,38,0,0,0,0,100
23,10,34,0,0,0,1,100
19,7,27,0,0,0,1,100
30,23,58,0,0,0,1,100
29,29,56,0,0,0,1,100
41,33,60,0,0,0,1,100
26,32,49,0,0,0,1,100
26,7,27,0,0,0,1,100
17,29,23,0,0,0,0,100
31,37,63,0,0,0,0,100
44,47,119,0,0,0,0,100
13,36,20,0,0,0,0,100
23,32,20,0,0,0,0,100
24,20,50,0,0,0,1,100
25,11,32,0,0,0,1,100
44,28,55,0,0,0,1,100
20,9,29,0,0,0,1,100
26,15,44,0,0,0,1,100
30,26,63,0,0,0,1,100
37,15,62,0,0,0,1,100
14,30,14,0,0,0,0,100
33,24,61,0,0,0,1,100
9,19,9,0,0,0,0,100
28,31,62,0,0,0,1,100
18,27,25,0,0,0,1,100
13,32,25,0,0,0,0,100
23,12,32,0,0,0,1,100
39,30,68,0,0,0,1,100
26,18,56,0,0,0,1,100
14,19,18,0,0,0,0,100
23,41,44,0,0,0,0,100
35,22,72,0,0,0,1,100
30,24,73,0,0,0,0,100
10,15,17,0,0,0,0,100
15,33,27,0,0,0,0,100
18,10,29,0,0,0,1,100
25,23,33,0,0,0,0,100
17,34,31,0,0,0,0,100
5,26,4,0,0,0,0,100
19,6,18,0,0,0,1,100
32,18,55,0,0,0,1,100
